Timestamp,VP_Price,Expected_VP_Price,Diff_MA,Raw_Difference,VP_Position,SHEEP_Price,ORE_Price,WHEAT_Price
0,1284.874229,1273.506710,11.367520,11.367520,0,297.903889,30.168893,99.784359
1,1275.738180,1274.933162,0.805019,0.805019,0,295.967241,30.276417,100.040200
2,1266.250611,1274.097498,-7.846888,-7.846888,0,294.777558,30.206913,100.660975
3,1270.774879,1278.882459,-8.107580,-8.107580,0,294.068280,30.493041,100.308778
4,1274.258388,1275.663748,-1.405360,-1.405360,0,294.039560,30.351102,100.307974
5,1264.358223,1272.706291,-8.348067,-8.348067,0,293.710895,30.227901,100.344526
6,1266.792597,1276.543921,-9.751324,-9.751324,0,296.686360,30.233094,100.714822
7,1274.395743,1283.980935,-9.585192,-9.585192,0,296.320443,30.406907,102.053596
8,1281.854488,1289.526542,-7.672054,-7.672054,0,296.614713,30.617657,102.242968
9,1289.547821,1288.827488,0.720333,0.720333,0,297.894579,30.619171,101.592074
10,1291.130867,1288.505006,2.625861,2.625861,0,297.655946,30.665466,101.192708
11,1303.327543,1291.304821,12.022722,12.022722,0,298.300285,30.748636,101.316088
12,1303.920660,1291.540222,12.380438,12.380438,0,297.817236,30.812333,101.050294
13,1297.700603,1292.593336,5.107267,5.107267,0,295.166043,30.913296,101.449031
14,1297.201874,1286.082238,11.119636,11.119636,0,294.972665,30.682975,101.045950
15,1286.277784,1281.379689,4.898094,4.898094,0,295.693371,30.395136,101.436570
16,1278.239324,1275.096011,3.143313,3.143313,0,295.873224,30.128968,101.276631
17,1279.956396,1279.167724,0.788672,0.788672,0,297.125124,30.241587,101.423580
18,1274.242561,1278.057074,-3.814513,-3.814513,0,297.535414,30.141853,101.689298
19,1276.667770,1285.459452,-8.791681,-8.791681,0,298.220750,30.441640,101.707294
20,1271.395272,1284.742606,-13.347333,-13.347333,0,298.486342,30.375863,101.889522
21,1269.060136,1283.077098,-14.016962,-14.016962,0,295.308371,30.447535,101.736161
22,1273.992906,1286.019175,-12.026269,-12.026269,0,291.318320,30.638909,102.499732
23,1288.174156,1287.793895,0.380261,0.380261,0,292.788525,30.753732,101.764414
24,1280.015507,1288.969552,-8.954045,-8.954045,0,293.467610,30.815312,101.481658
25,1281.849383,1292.945915,-11.096532,-11.096532,0,296.525125,30.825679,101.834333
26,1282.122276,1294.819336,-12.697059,-12.697059,0,295.173695,31.059649,101.077258
27,1284.681888,1294.741458,-10.059571,-10.059571,0,295.973253,31.075113,100.681907
28,1283.320550,1295.469140,-12.148590,-12.148590,0,295.357673,31.065907,101.197042
29,1276.275922,1287.793779,-11.517856,-11.517856,0,295.642496,30.656274,101.641098
30,1260.559745,1291.216111,-30.656366,-30.656366,0,295.517363,30.841976,101.418701
31,1250.687149,1299.139159,-48.452010,-48.452010,100,297.204858,30.994156,102.459091
32,1246.594348,1294.353160,-47.758812,-47.758812,100,299.251803,30.839657,101.369342
33,1260.887240,1295.108242,-34.221002,-34.221002,100,300.318837,30.946971,100.463493
34,1263.218007,1296.552434,-33.334426,-33.334426,100,300.542263,30.996720,100.507422
35,1258.288204,1296.827468,-38.539264,-38.539264,100,296.546222,31.063161,101.321958
